"tipo_elem";distrito;id;id_cruce;"localizaci";num;"fecha_inst";utm_x;utm_y;longitud;latitud
"AVISADOR ACUSTICO SIN POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";1;3442;99;"CALLE SAN BERNARDO";94;"2018-08-07 00:00:00";440156.139765462;4475728.236805353;-3.70552153014865;40.43004048610266
"AVISADOR ACUSTICO SIN POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";1;3443;99;"GTA. RUIZ JIMENEZ";24;"2018-08-07 00:00:00";440178.42091106;4475681.60029353;-3.7052544794541;40.42962196617211
"AVISADOR ACUSTICO SIN POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";1;3446;99;"CALLE SAN BERNARDO";91;"2018-08-07 00:00:00";440112.34011069;4475632.517328367;-3.70602884559888;40.42917505011467
"AVISADOR ACUSTICO SIN POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";1;3439;99;"GTA. RUIZ JIMENEZ";1;"2018-08-07 00:00:00";440085.398333275;4475673.338794606;-3.70635029277298;40.42954084806525
"AVISADOR ACUSTICO SIN POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";1;3440;99;"CALLE ALBERTO AGUILERA";2;"2018-08-07 00:00:00";440083.579049316;4475698.16155694;-3.70637407898153;40.42976433153975
"AVISADOR ACUSTICO SIN POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";1;3441;99;"GTA. RUIZ JIMENEZ";93;"2018-08-07 00:00:00";440136.118329441;4475728.858724763;-3.7057576118924;40.4300446480076
"AVISADOR ACUSTICO SIN POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";1;3444;99;"GTA. RUIZ JIMENEZ";6;"2018-08-07 00:00:00";440178.064836487;4475657.594938432;-3.7052564179531;40.42940568956512
"AVISADOR ACUSTICO SIN POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";1;3445;99;"CALLE SAN BERNARDO";92;"2018-08-07 00:00:00";440128.127261796;4475633.583437248;-3.70584284119712;40.42918579050666
"AVISADOR ACUSTICO SIN POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";1;4396;2096;"PLAZA SANTA BA?RBARA";1;"2018-08-01 00:00:00";440891.63686538;4475344.895373016;-3.69681545062326;40.42663975574932
"AVISADOR ACUSTICO SIN POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";1;4398;2096;"PLAZA SANTA BA?RBARA";1;"2018-08-01 00:00:00";440887.225741854;4475345.36207075;-3.69686749212963;40.42664364656216
"AVISADOR ACUSTICO SIN POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";1;4399;2096;"PLAZA SANTA BA?RBARA";1;"2018-08-01 00:00:00";440885.455290228;4475339.073487061;-3.69688777741361;40.42658687025045
"AVISADOR ACUSTICO SIN POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";1;4397;2096;"PLAZA SANTA BA?RBARA";1;"2018-08-01 00:00:00";440904.694050055;4475344.236499432;-3.69666147190556;40.42663474790906
"AVISADOR ACUSTICO SIN POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";1;4424;1843;"CALLE GENOVA";25;"2020-05-18 00:00:00";441253.703866221;4475289.027373889;-3.69254225707277;40.42616211599049
"AVISADOR ACUSTICO SIN POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";1;4425;1843;"CALLE GARCIA GUTIERREZ";2;"2020-05-18 00:00:00";441240.577743991;4475274.005867359;-3.6926955979363;40.42602586810429
