distrito;id;"descripcion";"fecha_inst";utm_x;utm_y;longitud;latitud
11;565;"ANTONIO LEYVA - NAVAHONDA";"23/04/1973";439293.957512445;4471614.734837448;-3.71529289640703;40.39292170859864
8;2028;"MONASTERIO SUSO Y YUSO 49 - P.P.";"17/09/2007";441236.282377998;4484122.606092624;-3.69356570859392;40.50573742515967
20;654;"HERMANOS GARCIA NOBLEJAS - EMILIO MUÑOZ";"14/05/1975";446364.834913364;4475691.085707997;-3.63232625171218;40.43012930725801
16;4744;"GLORIETA JOSE LUIS FERNANDEZ DEL AMO";"21/05/2023";445556.378434904;4481742.15338141;-3.64237587945329;40.48458796128796
16;4749;"AV. FUERZAS ARMADAS 116 P.P.";"21/05/2023";446427.157373919;4481891.750146476;-3.63211487044915;40.48599224858878
4;138;"GOYA - LAGASCA";"21/06/1965";441858.379882007;4475185.058329817;-3.68540489374703;40.42526798995439
19;1002;"CALAHORRA - CALAHORRA";"12/04/1981";448091.534391623;4473195.69193479;-3.61176696273109;40.40775876185239
18;710;"CRA. VILLAVERDE - CNO. POZO TIO RAIMUNDO - P.P.";"20/09/1976";445193.837316012;4469002.462657132;-3.64555496523976;40.36979781614848
18;399;"PL. SIERRA GADOR - REAL ARGANDA";"25/05/1970";447249.303635351;4470090.91771521;-3.62143533590288;40.3797359735756
5;1330;"MARCENADO - SAN ERNESTO";"11/08/1992";442838.724987215;4477847.137385492;-3.67408829161618;40.44931724993089
8;1089;"MONFORTE LEMOS - PL. VERIN";"23/12/1983";439829.582130918;4481078.915589288;-3.70987825418475;40.4782179907008
8;832;"AV. CARDENAL HERRERA ORIA - PEÑA DEL OSO";"01/01/1978";440611.90978191;4482307.328952322;-3.70076424876718;40.48934031221523
8;1799;"VALLE DE MENA - JUAN ANDRES";"29/06/2004";438717.718949802;4480385.870032663;-3.72292784092023;40.47189349255497
16;1413;"AREQUIPA - C.O.E - P.P.";"30/05/1995";446235.980121244;4479963.767769946;-3.63420701663927;40.46861165227301
8;951;"AV. CARDENAL HERRERA ORIA - GINZO DE LIMIA";"25/02/1980";439875.285044306;4481886.555123165;-3.7094156895758;40.48549680735639
10;1360;"CJAL. FRANCISCO JOSE JIMENEZ M. - BERLANAS";"16/04/1993";436174.181139987;4472394.408160706;-3.75212811597332;40.39971210182181
10;1361;"CJAL. FRANCISCO JOSE JIMENEZ M. - CARBONERAS";"16/04/1993";436360.616585089;4472423.957494254;-3.74993427960488;40.39999256303354
5;1191;"AV. PIO XII - MADRE DIOS";"09/03/1990";442668.186642388;4479265.812271386;-3.67622739208431;40.46208558527875
4;170;"PPE. VERGARA - DIEGO LEON";"25/04/1966";442374.953807985;4476235.451879118;-3.67941087026957;40.43476639678683
